date,temp_max,temp_min,precipitation,soil_moisture,Watershed,river_flow,groundwater_level,reservoir_level,location,flood_severity,drought_severity,elevation,slope,soil_type,3d_precip_sum,7d_precip_avg,temp_range,temp_7d_avg,river_flow_3d_diff,groundwater_7d_avg,days_since_rain
2024-09-20,32.0,23.1,2.6,82.64,1,804,0,82.0,Yagoua,1,0,330,3,silty,10.6,2.915857142857143,8.899999999999999,32.01428571428572,-22.0,0.0,0
2024-09-19,32.0,23.1,0.0,82.64,1,808,0,82.0,Yagoua,1,0,330,3,silty,6.4,2.915857142857143,8.899999999999999,32.01428571428572,-14.0,0.0,2
2024-09-18,32.0,23.1,0.0,83.112,1,813,0,82.0,Yagoua,1,0,330,3,silty,2.6,2.4714285714285715,8.899999999999999,32.01428571428572,0.0,0.0,3
2024-09-17,31.5,23.1,4.5,83.112,1,817,0,82.0,Yagoua,1,0,330,3,silty,4.5,2.757142857142857,8.399999999999999,31.928571428571427,13.0,0.0,0
2024-09-16,31.5,23.4,5.22,83.112,1,822,0,82.0,Yagoua,1,0,330,3,silty,9.719999999999999,2.902857142857143,8.100000000000001,31.857142857142858,14.0,0.0,0
2024-09-15,31.5,23.4,5.67,83.112,0,831,0,82.0,Yagoua,1,0,330,3,silty,15.39,3.1128571428571425,8.100000000000001,31.785714285714285,18.0,0.0,0
2024-09-14,31.5,23.4,3.1,83.112,0,813,0,84.0,Yagoua,1,0,330,3,silty,13.99,3.012857142857143,8.100000000000001,31.714285714285715,-4.0,0.0,0
2024-09-13,32.5,23.4,2.7,83.112,1,795,0,84.0,Yagoua,1,0,330,3,silty,11.469999999999999,3.0271428571428567,9.100000000000001,31.785714285714285,-27.0,0.0,0
2024-09-12,32.7,23.4,2.4,84.61,1,795,0,84.0,Yagoua,1,0,330,3,silty,8.2,3.3699999999999997,9.300000000000004,31.885714285714283,-36.0,0.0,0
2024-09-11,32.7,23.4,0.0,84.61,1,768,0,84.0,Yagoua,1,0,330,3,silty,5.1000000000000005,3.3699999999999997,9.300000000000004,31.985714285714284,-45.0,0.0,2
2024-09-10,32.7,23.5,3.23,84.61,1,768,0,84.0,Yagoua,1,0,330,3,silty,5.63,3.188571428571428,9.200000000000003,32.15714285714286,-27.0,0.0,0
2024-09-09,32.7,23.4,3.34,84.61,1,755,0,84.0,Yagoua,1,0,330,3,silty,6.57,2.9199999999999995,9.300000000000004,32.32857142857143,-40.0,0.0,0
2024-09-08,32.7,23.4,4.15,84.61,1,742,0,86.0,Yagoua,1,0,330,3,silty,10.72,2.7028571428571433,9.300000000000004,32.50000000000001,-26.0,0.0,0
2024-09-07,32.9,23.4,6.98,84.61,1,734,0,87.0,Yagoua,1,0,330,3,silty,14.47,3.257142857142857,9.5,32.7,-34.0,0.0,0
2024-09-06,32.4,23.4,0.0,84.61,1,725,0,89.0,Yagoua,1,0,330,3,silty,11.13,2.8714285714285714,9.0,32.68571428571429,-30.0,0.0,2
2024-09-05,32.4,23.6,0.0,84.61,0,717,0,90.0,Yagoua,1,0,330,3,silty,6.98,2.528571428571429,8.799999999999997,32.642857142857146,-25.0,0.0,3
2024-09-04,32.4,23.4,3.54,84.61,0,704,0,92.0,Yagoua,1,0,330,3,silty,3.54,3.0342857142857147,9.0,32.6,-30.0,0.0,0
2024-09-03,32.1,23.4,2.83,84.61,0,700,0,92.0,Yagoua,1,0,330,3,silty,6.37,2.9771428571428578,8.700000000000003,32.51428571428571,-25.0,0.0,0
2024-09-02,32.8,23.7,3.11,84.61,0,684,0,94.0,Yagoua,1,0,330,3,silty,9.48,2.944285714285715,9.099999999999998,32.528571428571425,-33.0,0.0,0
2024-09-01,32.8,23.4,0.0,84.61,1,643,0,97.0,Yagoua,1,0,330,3,silty,5.9399999999999995,2.3514285714285714,9.399999999999999,32.54285714285714,-61.0,0.0,2
2024-08-31,32.8,23.7,0.0,84.61,1,615,0,97.0,Yagoua,1,0,330,3,silty,3.11,1.3542857142857143,9.099999999999998,32.528571428571425,-85.0,0.0,3
2024-08-30,30.0,23.0,4.38,85.32,1,611,0,97.0,Yagoua,1,0,330,3,silty,4.38,1.98,7.0,32.18571428571429,-73.0,0.0,0
2024-08-29,29.0,23.0,7.11,85.54,1,611,0,97.0,Yagoua,1,0,330,3,silty,11.49,2.9957142857142856,6.0,31.7,-32.0,0.0,0
2024-08-28,31.0,23.0,7.11,86.22,1,643,0,97.0,Yagoua,1,0,330,3,silty,18.6,3.505714285714286,8.0,31.5,28.0,0.0,0
2024-08-27,30.0,23.0,7.11,86.31,1,675,0,97.0,Yagoua,1,0,330,3,silty,21.330000000000002,4.117142857142857,7.0,31.2,64.0,0.0,0
2024-08-26,30.0,23.0,6.23,86.34,1,725,0,97.0,Yagoua,1,0,330,3,silty,20.450000000000003,4.562857142857143,7.0,30.8,114.0,0.0,0
2024-08-25,30.0,23.0,8.5,86.55,1,713,0,97.0,Yagoua,1,0,330,3,silty,21.840000000000003,5.777142857142857,7.0,30.400000000000002,70.0,0.0,0
2024-08-24,30.0,23.0,6.45,85.66,1,692,0,97.0,Yagoua,1,0,330,3,silty,21.18,6.698571428571428,7.0,30.0,17.0,0.0,0
2024-08-23,30.0,23.0,6.98,85.66,1,679,0,97.0,Yagoua,1,0,330,3,silty,21.93,7.070000000000001,7.0,30.0,-46.0,0.0,0
2024-08-22,30.0,23.0,4.56,86.66,1,651,0,97.0,Yagoua,1,0,330,3,silty,17.990000000000002,6.7057142857142855,7.0,30.142857142857142,-62.0,0.0,0
2024-08-21,30.0,23.0,9.33,86.66,1,647,0,97.0,Yagoua,1,0,330,3,silty,20.87,7.022857142857142,7.0,30.0,-45.0,0.0,0
2024-08-20,30.0,23.0,7.45,86.66,1,643,0,97.0,Yagoua,1,0,330,3,silty,21.34,7.071428571428571,7.0,30.0,-36.0,0.0,0
2024-08-19,30.0,23.0,8.34,86.66,1,651,0,97.0,Yagoua,1,0,330,3,silty,25.12,7.372857142857143,7.0,30.0,0.0,0.0,0
2024-08-18,30.0,23.0,8.34,86.66,1,655,0,97.0,Yagoua,1,0,330,3,silty,24.13,7.3500000000000005,7.0,30.0,8.0,0.0,0
2024-08-17,30.0,23.0,8.34,86.66,1,659,0,97.0,Yagoua,1,0,330,3,silty,25.02,7.62,7.0,30.0,16.0,0.0,0
2024-08-16,30.0,23.0,7.32,86.66,1,692,0,97.0,Yagoua,1,0,330,3,silty,24.0,7.668571428571427,7.0,30.0,41.0,0.0,0
2024-08-15,30.0,23.0,5.31,86.66,1,704,0,97.0,Yagoua,1,0,330,3,silty,20.97,7.775714285714286,7.0,30.0,49.0,0.0,0
2024-08-14,30.0,23.0,7.98,86.66,1,692,0,97.5,Yagoua,1,0,330,3,silty,20.61,7.582857142857143,7.0,30.0,33.0,0.0,0
2024-08-13,30.0,23.0,7.98,86.66,1,659,0,97.5,Yagoua,1,0,330,3,silty,21.27,7.658571428571428,7.0,30.0,-33.0,0.0,0
2024-08-12,30.0,23.0,7.98,86.66,1,651,0,97.5,Yagoua,1,0,330,3,silty,23.94,7.607142857142857,7.0,30.0,-53.0,0.0,0
2024-08-11,30.0,23.0,7.98,86.66,1,651,0,97.5,Yagoua,1,0,330,3,silty,23.94,7.555714285714286,7.0,30.0,-41.0,0.0,0
2024-08-10,30.0,23.0,4.23,86.66,1,631,0,97.5,Yagoua,1,0,330,3,silty,20.19,6.968571428571429,7.0,30.0,-28.0,0.0,0
2024-08-09,30.0,23.0,4.23,86.66,1,639,0,97.5,Yagoua,1,0,330,3,silty,16.44,6.527142857142858,7.0,30.0,-12.0,0.0,0
2024-08-08,30.0,23.0,9.22,86.66,1,639,0,97.5,Yagoua,1,0,330,3,silty,17.680000000000003,7.085714285714287,7.0,30.0,-12.0,0.0,0
2024-08-07,30.0,23.0,9.22,86.66,1,623,0,97.5,Yagoua,1,0,330,3,silty,22.67,7.262857142857143,7.0,30.0,-8.0,0.0,0
2024-08-06,30.0,23.0,9.22,86.66,1,580,0,97.5,Yagoua,1,0,330,3,silty,27.660000000000004,7.44,7.0,30.0,-59.0,0.0,0
2024-08-05,32.0,23.0,8.115,86.66,1,561,0,96.0,Yagoua,1,0,330,3,silty,26.555,7.4592857142857145,9.0,30.285714285714285,-78.0,0.0,0
2024-08-04,31.0,23.0,6.77,86.66,1,565,0,96.0,Yagoua,1,0,330,3,silty,24.105000000000004,7.286428571428572,8.0,30.428571428571427,-58.0,0.0,0
2024-08-03,33.0,23.0,6.77,86.66,1,569,0,96.0,Yagoua,1,0,330,3,silty,21.655,7.649285714285715,10.0,30.857142857142858,-11.0,0.0,0
2024-08-02,34.0,23.0,6.77,86.66,1,561,0,92.0,Yagoua,1,0,330,3,silty,20.31,8.012142857142857,11.0,31.428571428571427,0.0,0.0,0
2024-08-01,34.0,23.0,6.77,86.66,1,554,0,92.0,Yagoua,1,0,330,3,silty,20.31,7.6621428571428565,11.0,32.0,-11.0,0.0,0
2024-07-31,32.0,23.0,9.55,86.22,1,573,0,92.0,Yagoua,1,0,330,3,silty,23.09,7.709285714285714,9.0,32.285714285714285,4.0,0.0,0
2024-07-30,31.0,23.0,8.33,86.22,1,592,0,88.0,Yagoua,1,0,330,3,silty,24.65,7.582142857142857,8.0,32.42857142857143,31.0,0.0,0
2024-07-29,33.0,23.0,7.44,86.22,1,584,0,88.0,Yagoua,1,0,330,3,silty,25.32,7.485714285714286,10.0,32.57142857142857,30.0,0.0,0
2024-07-28,33.0,24.0,7.99,86.22,1,543,0,88.0,Yagoua,1,0,330,3,silty,23.76,7.660000000000001,9.0,32.857142857142854,-30.0,0.0,0
2024-07-27,33.0,24.0,7.89,86.22,1,485,0,88.0,Yagoua,0,0,330,3,silty,23.32,7.819999999999999,9.0,32.857142857142854,-107.0,0.0,0
2024-07-26,33.0,24.0,5.67,86.22,1,458,0,87.0,Yagoua,0,0,330,3,silty,21.549999999999997,7.662857142857143,9.0,32.714285714285715,-126.0,0.0,0
2024-07-25,33.0,24.0,5.67,86.22,1,434,0,86.0,Yagoua,0,0,330,3,silty,19.23,7.505714285714285,9.0,32.57142857142857,-109.0,0.0,0
2024-07-24,33.0,24.0,8.1,86.22,1,370,0,85.0,Yagoua,0,0,330,3,silty,19.439999999999998,7.298571428571429,9.0,32.714285714285715,-115.0,0.0,0
2024-07-23,33.0,24.0,6.4,86.22,1,349,0,85.0,Yagoua,0,0,330,3,silty,20.17,7.022857142857143,9.0,33.0,-109.0,0.0,0
2024-07-22,33.0,24.0,9.4,84.334,1,358,0,85.0,Yagoua,0,0,330,3,silty,23.9,7.3028571428571425,9.0,33.0,-76.0,0.0,0
2024-07-21,33.0,24.0,9.14,84.334,1,373,0,85.0,Yagoua,0,0,330,3,silty,24.94,7.467142857142856,9.0,33.0,3.0,0.0,0
2024-07-20,33.0,24.0,6.4,84.334,1,361,0,83.5,Yagoua,0,0,330,3,silty,24.939999999999998,7.2542857142857144,9.0,33.0,12.0,0.0,0
2024-07-19,33.0,24.0,7.34,84.334,1,343,0,83.5,Yagoua,0,0,330,3,silty,22.880000000000003,7.492857142857143,9.0,33.0,-15.0,0.0,0
2024-07-18,33.0,24.0,7.21,84.334,1,343,0,80.0,Yagoua,0,0,330,3,silty,20.95,7.7128571428571435,9.0,33.0,-30.0,0.0,0
2024-07-17,33.0,24.0,8.3,84.334,1,340,0,79.0,Yagoua,0,0,330,3,silty,22.85,7.741428571428571,9.0,33.0,-21.0,0.0,0
2024-07-16,33.0,24.0,4.65,84.334,1,305,0,78.0,Yagoua,0,0,330,3,silty,20.16,7.491428571428572,9.0,33.0,-38.0,0.0,0
2024-07-15,33.0,24.0,4.65,84.334,1,274,0,77.0,Yagoua,0,0,330,3,silty,17.6,6.812857142857143,9.0,33.0,-69.0,0.0,0
2024-07-14,33.0,24.0,8.23,84.334,1,225,0,77.0,Yagoua,0,0,330,3,silty,17.53,6.682857142857143,9.0,33.0,-115.0,0.0,0
2024-07-13,33.0,24.0,3.78,84.334,1,214,0,76.0,Yagoua,0,0,330,3,silty,16.66,6.308571428571428,9.0,33.0,-91.0,0.0,0
2024-07-12,33.0,24.0,6.78,82.334,1,198,0,76.0,Yagoua,0,0,330,3,silty,18.79,6.228571428571429,9.0,33.0,-76.0,0.0,0
2024-07-11,33.0,24.0,7.87,79.134,1,170,0,76.0,Yagoua,0,0,330,3,silty,18.43,6.322857142857144,9.0,33.0,-55.0,0.0,0
2024-07-10,33.0,24.0,7.87,78.01,1,144,0,76.0,Yagoua,0,0,330,3,silty,22.52,6.2614285714285725,9.0,33.0,-70.0,0.0,0
2024-07-09,33.0,24.0,7.87,78.01,1,131,0,76.0,Yagoua,0,0,330,3,silty,23.61,6.721428571428571,9.0,33.0,-67.0,0.0,0
2024-07-08,33.0,24.0,7.87,78.01,1,122,0,74.0,Yagoua,0,0,330,3,silty,23.61,7.1814285714285715,9.0,33.0,-48.0,0.0,0
2024-07-07,33.0,24.0,6.45,78.01,1,121,0,73.0,Yagoua,0,0,330,3,silty,22.189999999999998,6.927142857142857,9.0,33.0,-23.0,0.0,0
2024-07-06,33.0,24.0,7.46,74.64,1,117,0,73.0,Yagoua,0,0,330,3,silty,21.779999999999998,7.452857142857143,9.0,33.0,-14.0,0.0,0
2024-07-05,33.0,24.0,7.46,74.64,1,115,0,73.0,Yagoua,0,0,330,3,silty,21.369999999999997,7.55,9.0,33.0,-7.0,0.0,0
2024-07-04,33.0,24.0,7.46,74.64,1,114,0,73.0,Yagoua,0,0,330,3,silty,22.38,7.491428571428571,9.0,33.0,-7.0,0.0,0
2024-07-03,33.0,24.0,7.46,74.64,1,115,0,71.0,Yagoua,0,0,330,3,silty,22.38,7.432857142857143,9.0,33.0,-2.0,0.0,0
2024-07-02,34.0,24.0,6.88,74.64,1,119,0,70.0,Yagoua,0,0,330,3,silty,21.799999999999997,7.291428571428573,10.0,33.142857142857146,4.0,0.0,0
2024-07-01,34.0,24.0,6.88,74.64,1,121,0,69.0,Yagoua,0,0,330,3,silty,21.22,7.1499999999999995,10.0,33.285714285714285,7.0,0.0,0
2024-06-30,35.5,24.0,6.88,74.64,1,116,0,67.5,Yagoua,0,0,330,3,silty,20.64,7.211428571428572,11.5,33.642857142857146,1.0,0.0,0
2024-06-29,36.0,24.0,6.743,72.22,1,114,0,67.5,Yagoua,0,0,330,3,silty,20.503,7.109000000000001,12.0,34.07142857142857,-5.0,0.0,0
2024-06-28,35.0,26.0,6.76,72.22,1,107,0,67.5,Yagoua,0,0,330,3,silty,20.383,7.009,9.0,34.357142857142854,-14.0,0.0,0
2024-06-27,34.0,26.0,5.33,72.22,1,102,0,67.5,Yagoua,0,0,330,3,silty,18.833,6.704714285714286,8.0,34.5,-14.0,0.0,0
2024-06-26,36.0,26.0,0.0,72.22,1,95,0,65.0,Yagoua,0,0,330,3,silty,12.089999999999998,5.639,10.0,34.92857142857143,-19.0,0.0,2
2024-06-25,36.5,26.0,8.54,72.22,1,93,0,63.5,Yagoua,0,0,330,3,silty,13.869999999999997,5.876142857142858,10.5,35.285714285714285,-14.0,0.0,0
2024-06-24,36.5,26.0,8.54,72.22,1,87,0,63.5,Yagoua,0,1,330,3,silty,17.08,6.113285714285714,10.5,35.642857142857146,-15.0,0.0,0
2024-06-23,36.5,26.0,8.54,69.01,1,81,0,63.5,Yagoua,0,1,330,3,silty,25.619999999999997,6.350428571428571,10.5,35.785714285714285,-14.0,0.0,0
2024-06-22,36.5,26.0,0.0,69.01,1,79,0,62.0,Yagoua,0,1,330,3,silty,17.08,5.387142857142856,10.5,35.857142857142854,-14.0,0.0,2
2024-06-21,36.5,26.0,0.0,69.01,1,72,0,62.0,Yagoua,0,1,330,3,silty,8.539999999999997,4.421428571428571,10.5,36.07142857142857,-15.0,0.0,3
2024-06-20,36.5,26.0,0.0,69.01,1,70,0,62.0,Yagoua,0,1,330,3,silty,0.0,3.6599999999999997,10.5,36.42857142857143,-11.0,0.0,4
2024-06-19,36.5,26.0,5.34,62.23,1,62,0,62.0,Yagoua,0,1,330,3,silty,5.339999999999998,4.422857142857143,10.5,36.5,-17.0,0.0,0
2024-06-18,36.5,26.0,5.76,62.23,1,63,0,62.0,Yagoua,0,1,330,3,silty,11.099999999999998,4.025714285714286,10.5,36.5,-9.0,0.0,0
2024-06-17,36.5,26.0,3.45,62.23,1,59,0,61.0,Yagoua,0,1,330,3,silty,14.549999999999997,3.2985714285714285,10.5,36.5,-11.0,0.0,0
2024-06-16,36.5,26.0,3.23,56.43,1,54,0,61.0,Yagoua,0,1,330,3,silty,12.439999999999998,2.54,10.5,36.5,-8.0,0.0,0
2024-06-15,36.5,26.0,3.23,56.43,1,53,0,61.0,Yagoua,0,1,330,3,silty,9.909999999999998,3.0014285714285713,10.5,36.5,-10.0,0.0,0
2024-06-14,36.5,26.0,6.67,56.43,1,53,0,61.0,Yagoua,0,1,330,3,silty,13.129999999999999,3.954285714285714,10.5,36.5,-6.0,0.0,0
2024-06-13,36.5,26.0,6.67,56.43,1,53,0,59.5,Yagoua,0,1,330,3,silty,16.569999999999997,4.9071428571428575,10.5,36.5,-1.0,0.0,0
2024-06-12,36.5,26.0,0.0,56.43,1,50,0,59.5,Yagoua,0,1,330,3,silty,13.339999999999996,4.144285714285714,10.5,36.5,-3.0,0.0,2
2024-06-11,36.5,26.0,0.0,51.45,1,51,0,58.5,Yagoua,0,1,330,3,silty,6.669999999999998,3.3214285714285716,10.5,36.5,-2.0,0.0,3
2024-06-10,36.5,26.0,4.56,51.45,1,49,0,58.5,Yagoua,0,1,330,3,silty,4.559999999999998,3.48,10.5,36.5,-4.0,0.0,0
2024-06-09,36.5,26.0,0.0,51.45,1,49,0,58.5,Yagoua,0,1,330,3,silty,4.559999999999998,3.0185714285714282,10.5,36.5,-1.0,0.0,2
2024-06-08,36.5,26.0,4.788,51.45,1,46,0,56.0,Yagoua,0,1,330,3,silty,9.347999999999999,3.241142857142857,10.5,36.5,-5.0,0.0,0
2024-06-07,38.5,26.0,0.0,51.45,1,46,0,56.0,Yagoua,0,1,330,3,silty,4.7879999999999985,2.2882857142857143,12.5,36.785714285714285,-3.0,0.0,2
2024-06-06,36.5,26.0,0.0,51.45,1,45,0,56.0,Yagoua,0,1,330,3,silty,4.7879999999999985,1.3354285714285712,10.5,36.785714285714285,-4.0,0.0,3
2024-06-05,36.5,26.0,6.32,47.88,1,45,0,56.0,Yagoua,0,1,330,3,silty,6.3199999999999985,2.238285714285714,10.5,36.785714285714285,-1.0,0.0,0
2024-06-04,36.5,26.0,5.34,47.88,1,43,0,56.0,Yagoua,0,1,330,3,silty,11.659999999999998,3.001142857142857,10.5,36.785714285714285,-3.0,0.0,0
2024-06-03,36.5,26.0,6.77,47.88,1,42,0,53.0,Yagoua,0,1,330,3,silty,18.43,3.3168571428571427,10.5,36.785714285714285,-3.0,0.0,0
2024-06-02,36.5,29.0,3.456,47.88,1,41,0,53.0,Yagoua,0,1,330,3,silty,15.565999999999997,3.8105714285714285,7.5,36.785714285714285,-4.0,0.0,0
2024-06-01,38.5,29.0,0.0,47.88,1,40,0,51.5,Yagoua,0,1,330,3,silty,10.225999999999997,3.1265714285714283,9.5,37.07142857142857,-3.0,0.0,2
2024-05-31,38.5,29.0,0.0,43.23,1,41,0,50.0,Yagoua,0,1,330,3,silty,3.455999999999998,3.1265714285714283,9.5,37.07142857142857,-1.0,0.0,3
2024-05-30,38.5,29.0,0.0,43.23,1,42,0,50.0,Yagoua,0,1,330,3,silty,0.0,3.1265714285714283,9.5,37.357142857142854,1.0,0.0,4
2024-05-29,39.0,29.0,0.0,43.23,1,43,0,50.0,Yagoua,0,1,330,3,silty,0.0,2.2237142857142858,10.0,37.714285714285715,3.0,0.0,5
2024-05-28,39.0,29.0,4.43,43.23,1,43,0,48.5,Yagoua,0,1,330,3,silty,4.429999999999998,2.0937142857142854,10.0,38.07142857142857,2.0,0.0,0
2024-05-27,39.0,29.0,3.23,35.55,1,43,0,48.5,Yagoua,0,1,330,3,silty,7.659999999999998,1.5879999999999999,10.0,38.42857142857143,1.0,0.0,0
2024-05-26,39.0,29.0,0.0,33.43,1,43,0,48.5,Yagoua,0,1,330,3,silty,7.659999999999998,1.0942857142857143,10.0,38.785714285714285,0.0,0.0,2
2024-05-25,39.0,29.0,0.0,29.02,1,40,0,48.5,Yagoua,0,1,330,3,silty,3.229999999999998,1.0942857142857143,10.0,38.857142857142854,-3.0,0.0,3
2024-05-24,39.0,29.0,3.1,29.02,1,38,0,48.5,Yagoua,0,1,330,3,silty,3.0999999999999983,1.5371428571428574,10.0,38.92857142857143,-5.0,0.0,0
2024-05-23,39.0,29.0,0.0,26.55,1,37,0,46.0,Yagoua,0,1,330,3,silty,3.0999999999999983,1.5371428571428574,10.0,39.0,-6.0,0.0,2
2024-05-22,39.0,29.0,0.0,26.55,1,37,0,45.0,Yagoua,0,1,330,3,silty,3.0999999999999983,1.5371428571428574,10.0,39.0,-3.0,0.0,3
2024-05-21,39.0,29.0,2.45,24.33,1,37,0,44.0,Yagoua,0,1,330,3,silty,2.4499999999999984,1.2542857142857144,10.0,39.0,-1.0,0.0,0
2024-05-20,39.0,29.0,3.66,21.76,1,35,0,44.0,Yagoua,0,1,330,3,silty,6.1099999999999985,1.3157142857142858,10.0,39.0,-2.0,0.0,0
2024-05-19,39.0,29.0,3.56,18.44,1,33,0,44.0,Yagoua,0,1,330,3,silty,9.669999999999998,1.8242857142857145,10.0,39.0,-4.0,0.0,0
2024-05-18,39.0,29.0,0.0,18.44,1,32,0,44.0,Yagoua,0,1,330,3,silty,7.219999999999999,1.8242857142857145,10.0,39.0,-5.0,0.0,2
2024-05-17,39.0,29.0,0.0,18.44,1,31,0,44.0,Yagoua,0,1,330,3,silty,3.5599999999999983,1.3814285714285717,10.0,39.0,-4.0,0.0,3
2024-05-16,39.0,29.0,0.0,18.44,1,30,0,42.5,Yagoua,0,1,330,3,silty,0.0,1.3814285714285717,10.0,39.0,-3.0,0.0,4
2024-05-15,39.0,29.0,0.0,18.44,1,29,0,39.0,Yagoua,0,1,330,3,silty,0.0,1.3814285714285717,10.0,39.0,-3.0,0.0,5
2024-05-14,39.0,29.0,0.0,18.44,1,27,0,38.0,Yagoua,0,1,330,3,silty,0.0,1.0314285714285716,10.0,39.0,-4.0,0.0,6
2024-05-13,39.0,29.0,0.0,18.44,1,25,0,37.0,Yagoua,0,1,330,3,silty,0.0,0.5085714285714287,10.0,39.0,-5.0,0.0,7
2024-05-12,39.0,29.0,2.67,15.38,1,25,0,36.0,Yagoua,0,1,330,3,silty,2.669999999999998,0.38142857142857156,10.0,39.0,-4.0,0.0,0
2024-05-11,39.0,29.0,2.1,14.22,1,23,0,35.0,Yagoua,0,1,330,3,silty,4.769999999999998,0.6814285714285716,10.0,39.0,-4.0,0.0,0
2024-05-10,39.0,29.0,0.0,8.88,1,22,0,34.0,Yagoua,0,1,330,3,silty,4.769999999999998,0.6814285714285716,10.0,39.0,-3.0,0.0,2
2024-05-09,39.0,29.0,0.0,8.88,1,21,0,33.0,Yagoua,0,1,330,3,silty,2.0999999999999983,0.6814285714285716,10.0,39.0,-4.0,0.0,3
2024-05-08,39.0,29.0,0.0,8.88,1,19,0,32.0,Yagoua,0,1,330,3,silty,0.0,0.6814285714285716,10.0,39.0,-4.0,0.0,4
2024-05-07,39.0,29.0,0.0,8.88,1,18,0,32.0,Yagoua,0,1,330,3,silty,0.0,0.6814285714285716,10.0,39.0,-4.0,0.0,5
2024-05-06,39.0,29.0,0.0,8.88,1,19,0,31.0,Yagoua,0,1,330,3,silty,0.0,0.6814285714285716,10.0,39.0,-2.0,0.0,6
2024-05-05,39.0,29.0,0.0,8.88,1,19,0,31.0,Yagoua,0,1,330,3,silty,0.0,0.30000000000000016,10.0,39.0,0.0,0.0,7
2024-05-04,39.0,28.0,0.0,8.88,1,20,0,30.0,Yagoua,0,1,330,3,silty,0.0,0.0,11.0,39.0,2.0,0.0,8
2024-05-03,39.0,28.0,0.0,8.88,1,20,0,30.0,Yagoua,0,1,330,3,silty,0.0,0.0,11.0,39.0,1.0,0.0,9
2024-05-02,41.0,28.0,0.0,8.88,1,20,0,29.0,Yagoua,0,1,330,3,silty,0.0,0.0,13.0,39.285714285714285,1.0,0.0,10
2024-05-01,41.0,28.0,0.0,8.88,1,20,0,28.0,Yagoua,0,1,330,3,silty,0.0,0.0,13.0,39.57142857142857,0.0,0.0,11
2024-04-30,41.0,28.0,0.0,8.88,1,21,0,28.5,Yagoua,0,1,330,3,silty,0.0,0.0,13.0,39.857142857142854,1.0,0.0,12
2024-04-29,41.0,28.0,0.0,8.88,1,21,0,28.0,Yagoua,0,1,330,3,silty,0.0,0.0,13.0,40.142857142857146,1.0,0.0,13
2024-04-28,41.0,28.0,0.0,8.88,1,22,0,28.0,Yagoua,0,1,330,3,silty,0.0,0.0,13.0,40.42857142857143,2.0,0.0,14
2024-04-27,41.0,28.0,0.0,8.88,1,22,0,28.0,Yagoua,0,1,330,3,silty,0.0,0.0,13.0,40.714285714285715,1.0,0.0,15
2024-04-26,41.0,28.0,0.0,8.88,1,23,0,28.0,Yagoua,0,1,330,3,silty,0.0,0.0,13.0,41.0,2.0,0.0,16
2024-04-25,41.0,28.0,0.0,8.88,1,23,0,28.0,Yagoua,0,1,330,3,silty,0.0,0.0,13.0,41.0,1.0,0.0,17
2024-04-24,41.0,28.0,0.0,8.88,1,24,0,28.5,Yagoua,0,1,330,3,silty,0.0,0.0,13.0,41.0,2.0,0.0,18
2024-04-23,41.0,28.0,0.0,8.88,1,24,0,28.5,Yagoua,0,1,330,3,silty,0.0,0.0,13.0,41.0,1.0,0.0,19
2024-04-22,41.0,28.0,0.0,8.88,1,25,0,28.5,Yagoua,0,1,330,3,silty,0.0,0.0,13.0,41.0,2.0,0.0,20
