location,elevation,slope,soil_type,date,flood_severity,drought_severity,temperature_max,temperature_min,precipitation,wind_speed_max,humidity_mean,soil_moisture,river_flow,groundwater_level,reservoir_level,year,month,day,week,day_of_week,is_weekend,cumulative_precipitation,lag_groundwater_level_1d,lag_groundwater_level_7d,rolling_mean_water_7d,rolling_std_water_7d,precipitation_normalized,groundwater_level_normalized,cumulative_precipitation_normalized,flood,drought
Yagoua,200,5,Loamy,2000-01-14,15,65,35.1,18.8,0,9.6,24.833333333333,0.096,230,11,72,2000,1,14,2,4,0,0,11.0,17.0,11.0,1.1547005383792546,0.0,0.33333333333333326,0.0,0,1
Yagoua,200,5,Loamy,2000-01-15,15,80,36.0,19.6,0,12.8,22.25,0.096,230,11,72,2000,1,15,2,5,1,0,11.0,13.0,10.714285714285714,0.7559289460184607,0.0,0.33333333333333326,0.0,0,1
Yagoua,200,5,Loamy,2000-01-16,15,80,35.7,19.3,0,15.8,21.416666666667,0.096,230,11,72,2000,1,16,2,6,1,0,11.0,9.0,11.0,0.0,0.0,0.33333333333333326,0.0,0,1
Yagoua,200,5,Loamy,2000-01-17,15,80,35.4,19.7,0,15.6,21.666666666667,0.096,230,11,72,2000,1,17,3,0,0,0,11.0,11.0,11.0,0.0,0.0,0.33333333333333326,0.0,0,1
Yagoua,200,5,Loamy,2000-01-18,15,80,35.0,19.5,0,12.7,22.958333333333,0.096,230,11,72,2000,1,18,3,1,0,0,11.0,11.0,11.0,0.0,0.0,0.33333333333333326,0.0,0,1
Yagoua,200,5,Loamy,2000-01-19,15,80,35.7,19.0,0,12.9,22.958333333333,0.096,230,11,72,2000,1,19,3,2,0,0,11.0,11.0,11.0,0.0,0.0,0.33333333333333326,0.0,0,1
Yagoua,200,5,Loamy,2000-01-20,15,80,37.1,20.2,0,14.4,20.958333333333,0.096,230,11,72,2000,1,20,3,3,0,0,11.0,11.0,11.0,0.0,0.0,0.33333333333333326,0.0,0,1
Yagoua,200,5,Loamy,2000-01-21,15,80,36.7,20.6,0,17.0,18.416666666667,0.096,230,11,72,2000,1,21,3,4,0,0,11.0,11.0,11.0,0.0,0.0,0.33333333333333326,0.0,0,1
Yagoua,200,5,Loamy,2000-01-22,15,80,37.2,18.4,0,18.7,20.208333333333,0.096,230,11,72,2000,1,22,3,5,1,0,11.0,11.0,11.0,0.0,0.0,0.33333333333333326,0.0,0,1
Yagoua,200,5,Loamy,2000-01-23,15,80,36.9,18.3,0,13.4,17.583333333333,0.096,230,11,72,2000,1,23,3,6,1,0,11.0,11.0,11.0,0.0,0.0,0.33333333333333326,0.0,0,1
Yagoua,200,5,Loamy,2000-01-24,15,80,37.7,17.6,0,13.8,16.5,0.096,230,11,72,2000,1,24,4,0,0,0,11.0,11.0,11.0,0.0,0.0,0.33333333333333326,0.0,0,1
Yagoua,200,5,Loamy,2000-01-25,15,80,37.8,18.4,0,17.3,17.75,0.096,230,11,72,2000,1,25,4,1,0,0,11.0,11.0,11.0,0.0,0.0,0.33333333333333326,0.0,0,1
Yagoua,200,5,Loamy,2000-01-26,15,80,38.1,18.3,0,13.1,17.291666666667,0.095583333333333,230,11,72,2000,1,26,4,2,0,0,11.0,11.0,11.0,0.0,0.0,0.33333333333333326,0.0,0,1
Yagoua,200,5,Loamy,2000-01-27,15,80,38.4,20.3,0,18.6,13.583333333333,0.095375,230,11,72,2000,1,27,4,3,0,0,11.0,11.0,11.0,0.0,0.0,0.33333333333333326,0.0,0,1
Yagoua,200,5,Loamy,2000-01-28,15,80,35.7,21.8,0,20.4,14.25,0.095,230,11,72,2000,1,28,4,4,0,0,11.0,11.0,11.0,0.0,0.0,0.33333333333333326,0.0,0,1
Yagoua,200,5,Loamy,2000-01-29,15,80,31.6,18.5,0,19.4,14.333333333333,0.095,230,11,72,2000,1,29,4,5,1,0,11.0,11.0,11.0,0.0,0.0,0.33333333333333326,0.0,0,1
Yagoua,200,5,Loamy,2000-01-30,15,80,30.5,16.0,0,15.9,16.208333333333,0.095,230,11,72,2000,1,30,4,6,1,0,11.0,11.0,11.0,0.0,0.0,0.33333333333333326,0.0,0,1
Yagoua,200,5,Loamy,2000-01-31,15,80,30.0,15.4,0,15.0,17.25,0.095,230,11,72,2000,1,31,5,0,0,0,11.0,11.0,11.0,0.0,0.0,0.33333333333333326,0.0,0,1
