location,elevation,slope,soil_type,date,flood_severity,drought_severity,temp_max,temp_min,precipitation,soil_moisture,Watershed,river_flow,groundwater_level,reservoir_level
Yagoua,330,3,silty,2024-07-04,0,0,33.0,24.0,7.46,74.64,1,114,0,73.0
Yagoua,330,3,silty,2024-07-03,0,0,33.0,24.0,7.46,74.64,1,115,0,71.0
Yagoua,330,3,silty,2024-07-02,0,0,34.0,24.0,6.88,74.64,1,119,0,70.0
Yagoua,330,3,silty,2024-07-01,0,0,34.0,24.0,6.88,74.64,1,121,0,69.0
Yagoua,330,3,silty,2024-06-30,0,0,35.5,24.0,6.88,74.64,1,116,0,67.5
Yagoua,330,3,silty,2024-06-29,0,0,36.0,24.0,6.743,72.22,1,114,0,67.5
Yagoua,330,3,silty,2024-06-28,0,0,35.0,26.0,6.76,72.22,1,107,0,67.5
Yagoua,330,3,silty,2024-06-27,0,0,34.0,26.0,5.33,72.22,1,102,0,67.5
Yagoua,330,3,silty,2024-06-26,0,0,36.0,26.0,0.0,72.22,1,95,0,65.0
Yagoua,330,3,silty,2024-06-25,0,0,36.5,26.0,8.54,72.22,1,93,0,63.5
Yagoua,330,3,silty,2024-06-24,0,1,36.5,26.0,8.54,72.22,1,87,0,63.5
Yagoua,330,3,silty,2024-06-23,0,1,36.5,26.0,8.54,69.01,1,81,0,63.5
Yagoua,330,3,silty,2024-06-22,0,1,36.5,26.0,0.0,69.01,1,79,0,62.0
Yagoua,330,3,silty,2024-06-21,0,1,36.5,26.0,0.0,69.01,1,72,0,62.0
Yagoua,330,3,silty,2024-06-20,0,1,36.5,26.0,0.0,69.01,1,70,0,62.0
Yagoua,330,3,silty,2024-06-19,0,1,36.5,26.0,5.34,62.23,1,62,0,62.0
Yagoua,330,3,silty,2024-06-18,0,1,36.5,26.0,5.76,62.23,1,63,0,62.0
Yagoua,330,3,silty,2024-06-17,0,1,36.5,26.0,3.45,62.23,1,59,0,61.0
Yagoua,330,3,silty,2024-06-16,0,1,36.5,26.0,3.23,56.43,1,54,0,61.0
Yagoua,330,3,silty,2024-06-15,0,1,36.5,26.0,3.23,56.43,1,53,0,61.0
Yagoua,330,3,silty,2024-06-14,0,1,36.5,26.0,6.67,56.43,1,53,0,61.0
Yagoua,330,3,silty,2024-06-13,0,1,36.5,26.0,6.67,56.43,1,53,0,59.5
Yagoua,330,3,silty,2024-06-12,0,1,36.5,26.0,0.0,56.43,1,50,0,59.5
Yagoua,330,3,silty,2024-06-11,0,1,36.5,26.0,0.0,51.45,1,51,0,58.5
Yagoua,330,3,silty,2024-06-10,0,1,36.5,26.0,4.56,51.45,1,49,0,58.5
Yagoua,330,3,silty,2024-06-09,0,1,36.5,26.0,0.0,51.45,1,49,0,58.5
Yagoua,330,3,silty,2024-06-08,0,1,36.5,26.0,4.788,51.45,1,46,0,56.0
Yagoua,330,3,silty,2024-06-07,0,1,38.5,26.0,0.0,51.45,1,46,0,56.0
Yagoua,330,3,silty,2024-06-06,0,1,36.5,26.0,0.0,51.45,1,45,0,56.0
Yagoua,330,3,silty,2024-06-05,0,1,36.5,26.0,6.32,47.88,1,45,0,56.0
Yagoua,330,3,silty,2024-06-04,0,1,36.5,26.0,5.34,47.88,1,43,0,56.0
Yagoua,330,3,silty,2024-06-03,0,1,36.5,26.0,6.77,47.88,1,42,0,53.0
Yagoua,330,3,silty,2024-06-02,0,1,36.5,29.0,3.456,47.88,1,41,0,53.0
Yagoua,330,3,silty,2024-06-01,0,1,38.5,29.0,0.0,47.88,1,40,0,51.5
Yagoua,330,3,silty,2024-05-31,0,1,38.5,29.0,0.0,43.23,1,41,0,50.0
Yagoua,330,3,silty,2024-05-30,0,1,38.5,29.0,0.0,43.23,1,42,0,50.0
Yagoua,330,3,silty,2024-05-29,0,1,39.0,29.0,0.0,43.23,1,43,0,50.0
Yagoua,330,3,silty,2024-05-28,0,1,39.0,29.0,4.43,43.23,1,43,0,48.5
Yagoua,330,3,silty,2024-05-27,0,1,39.0,29.0,3.23,35.55,1,43,0,48.5
Yagoua,330,3,silty,2024-05-26,0,1,39.0,29.0,0.0,33.43,1,43,0,48.5
Yagoua,330,3,silty,2024-05-25,0,1,39.0,29.0,0.0,29.02,1,40,0,48.5
Yagoua,330,3,silty,2024-05-24,0,1,39.0,29.0,3.1,29.02,1,38,0,48.5
Yagoua,330,3,silty,2024-05-23,0,1,39.0,29.0,0.0,26.55,1,37,0,46.0
Yagoua,330,3,silty,2024-05-22,0,1,39.0,29.0,0.0,26.55,1,37,0,45.0
Yagoua,330,3,silty,2024-05-21,0,1,39.0,29.0,2.45,24.33,1,37,0,44.0
Yagoua,330,3,silty,2024-05-20,0,1,39.0,29.0,3.66,21.76,1,35,0,44.0
Yagoua,330,3,silty,2024-05-19,0,1,39.0,29.0,3.56,18.44,1,33,0,44.0
Yagoua,330,3,silty,2024-05-18,0,1,39.0,29.0,0.0,18.44,1,32,0,44.0
Yagoua,330,3,silty,2024-05-17,0,1,39.0,29.0,0.0,18.44,1,31,0,44.0
Yagoua,330,3,silty,2024-05-16,0,1,39.0,29.0,0.0,18.44,1,30,0,42.5
Yagoua,330,3,silty,2024-05-15,0,1,39.0,29.0,0.0,18.44,1,29,0,39.0
Yagoua,330,3,silty,2024-05-14,0,1,39.0,29.0,0.0,18.44,1,27,0,38.0
Yagoua,330,3,silty,2024-05-13,0,1,39.0,29.0,0.0,18.44,1,25,0,37.0
Yagoua,330,3,silty,2024-05-12,0,1,39.0,29.0,2.67,15.38,1,25,0,36.0
Yagoua,330,3,silty,2024-05-11,0,1,39.0,29.0,2.1,14.22,1,23,0,35.0
Yagoua,330,3,silty,2024-05-10,0,1,39.0,29.0,0.0,8.88,1,22,0,34.0
Yagoua,330,3,silty,2024-05-09,0,1,39.0,29.0,0.0,8.88,1,21,0,33.0
Yagoua,330,3,silty,2024-05-08,0,1,39.0,29.0,0.0,8.88,1,19,0,32.0
Yagoua,330,3,silty,2024-05-07,0,1,39.0,29.0,0.0,8.88,1,18,0,32.0
Yagoua,330,3,silty,2024-05-06,0,1,39.0,29.0,0.0,8.88,1,19,0,31.0
Yagoua,330,3,silty,2024-05-05,0,1,39.0,29.0,0.0,8.88,1,19,0,31.0
Yagoua,330,3,silty,2024-05-04,0,1,39.0,28.0,0.0,8.88,1,20,0,30.0
Yagoua,330,3,silty,2024-05-03,0,1,39.0,28.0,0.0,8.88,1,20,0,30.0
Yagoua,330,3,silty,2024-05-02,0,1,41.0,28.0,0.0,8.88,1,20,0,29.0
Yagoua,330,3,silty,2024-05-01,0,1,41.0,28.0,0.0,8.88,1,20,0,28.0
Yagoua,330,3,silty,2024-04-30,0,1,41.0,28.0,0.0,8.88,1,21,0,28.5
Yagoua,330,3,silty,2024-04-29,0,1,41.0,28.0,0.0,8.88,1,21,0,28.0
Yagoua,330,3,silty,2024-04-28,0,1,41.0,28.0,0.0,8.88,1,22,0,28.0
Yagoua,330,3,silty,2024-04-27,0,1,41.0,28.0,0.0,8.88,1,22,0,28.0
Yagoua,330,3,silty,2024-04-26,0,1,41.0,28.0,0.0,8.88,1,23,0,28.0
Yagoua,330,3,silty,2024-04-25,0,1,41.0,28.0,0.0,8.88,1,23,0,28.0
Yagoua,330,3,silty,2024-04-24,0,1,41.0,28.0,0.0,8.88,1,24,0,28.5
Yagoua,330,3,silty,2024-04-23,0,1,41.0,28.0,0.0,8.88,1,24,0,28.5
Yagoua,330,3,silty,2024-04-22,0,1,41.0,28.0,0.0,8.88,1,25,0,28.5
Yagoua,330,3,silty,2024-04-21,0,1,41.0,28.0,0.0,8.88,1,27,0,28.5
Yagoua,330,3,silty,2024-04-20,0,1,41.0,28.0,0.0,8.88,1,28,0,28.5
Yagoua,330,3,silty,2024-04-19,0,1,41.0,28.0,0.0,8.88,1,28,0,28.5
Yagoua,330,3,silty,2024-04-18,0,1,41.0,28.0,0.0,8.88,1,28,0,28.5
Yagoua,330,3,silty,2024-04-17,0,1,41.0,28.0,0.0,8.88,1,29,0,28.5
Yagoua,330,3,silty,2024-04-16,0,1,41.0,28.0,0.0,8.88,1,31,0,29.5
Yagoua,330,3,silty,2024-04-15,0,1,41.0,28.0,0.0,8.88,1,32,0,29.5
Yagoua,330,3,silty,2024-04-14,0,1,41.0,28.0,0.0,8.88,1,32,0,29.5
Yagoua,330,3,silty,2024-04-13,0,1,41.0,28.0,0.0,8.88,1,33,0,29.5
Yagoua,330,3,silty,2024-04-12,0,1,41.0,28.0,0.0,8.88,1,33,0,29.5
Yagoua,330,3,silty,2024-04-11,0,1,41.0,28.0,0.0,8.88,1,32,0,29.5
Yagoua,330,3,silty,2024-04-10,0,1,41.0,28.0,0.0,8.88,1,31,0,29.5
Yagoua,330,3,silty,2024-04-09,0,1,41.0,28.0,0.0,8.88,1,31,0,29.5
Yagoua,330,3,silty,2024-04-08,0,1,41.0,28.0,0.0,8.88,1,29,0,31.0
Yagoua,330,3,silty,2024-04-07,0,1,41.0,28.0,0.0,8.88,1,29,0,31.0
Yagoua,330,3,silty,2024-04-06,0,1,41.0,28.0,0.0,8.88,0,30,0,31.0
Yagoua,330,3,silty,2024-04-05,0,1,41.0,28.0,0.0,8.88,0,30,0,31.0
Yagoua,330,3,silty,2024-04-04,0,1,41.0,28.0,0.0,8.88,0,31,0,31.0
Yagoua,330,3,silty,2024-04-03,0,1,41.0,25.0,0.0,8.88,0,31,0,31.0
Yagoua,330,3,silty,2024-04-02,0,1,40.0,25.0,0.0,8.88,0,31,0,31.0
Yagoua,330,3,silty,2024-04-01,0,1,40.0,25.0,0.0,8.88,0,32,0,31.0
Yagoua,330,3,silty,2024-03-31,0,1,40.0,25.0,0.0,8.88,0,32,0,31.0
Yagoua,330,3,silty,2024-03-30,0,1,40.0,25.0,0.0,8.88,0,32,0,31.0
Yagoua,330,3,silty,2024-03-29,0,1,40.0,25.0,0.0,8.88,0,32,0,31.0
Yagoua,330,3,silty,2024-03-28,0,1,40.0,25.0,0.0,8.88,0,33,0,32.0
Yagoua,330,3,silty,2024-03-27,0,1,40.0,25.0,0.0,8.88,0,33,0,32.0
Yagoua,330,3,silty,2024-03-26,0,1,40.0,25.0,0.0,8.88,0,34,0,32.0
Yagoua,330,3,silty,2024-03-25,0,1,40.0,25.0,0.0,8.88,0,34,0,32.0
Yagoua,330,3,silty,2024-03-24,0,1,40.0,25.0,0.0,8.88,0,35,0,32.0
Yagoua,330,3,silty,2024-03-23,0,1,40.0,25.0,0.0,8.88,0,35,0,32.0
Yagoua,330,3,silty,2024-03-22,0,1,40.0,25.0,0.0,8.88,0,35,0,32.0
Yagoua,330,3,silty,2024-03-21,0,1,40.0,25.0,0.0,8.88,0,36,0,32.0
Yagoua,330,3,silty,2024-03-20,0,1,40.0,25.0,0.0,8.88,0,36,0,32.0
Yagoua,330,3,silty,2024-03-19,0,1,40.0,25.0,0.0,8.88,0,36,0,32.0
Yagoua,330,3,silty,2024-03-18,0,1,40.0,25.0,0.0,8.88,0,37,0,32.0
Yagoua,330,3,silty,2024-03-17,0,1,40.0,25.0,0.0,8.88,0,37,0,32.0
Yagoua,330,3,silty,2024-03-16,0,1,40.0,25.0,0.0,8.88,0,37,0,32.0
Yagoua,330,3,silty,2024-03-15,0,1,40.0,25.0,0.0,8.88,0,37,0,32.0
Yagoua,330,3,silty,2024-03-14,0,1,40.0,25.0,0.0,8.88,0,38,0,32.0
Yagoua,330,3,silty,2024-03-13,0,1,40.0,25.0,0.0,8.88,0,38,0,32.0
Yagoua,330,3,silty,2024-03-12,0,1,40.0,25.0,0.0,8.88,0,38,0,32.0
Yagoua,330,3,silty,2024-03-11,0,1,40.0,25.0,0.0,8.88,0,39,0,32.0
Yagoua,330,3,silty,2024-03-10,0,1,40.0,25.0,0.0,8.88,0,39,0,32.0
Yagoua,330,3,silty,2024-03-09,0,1,40.0,25.0,0.0,8.88,0,39,0,33.5
Yagoua,330,3,silty,2024-03-08,0,1,40.0,25.0,0.0,8.88,0,39,0,33.5
Yagoua,330,3,silty,2024-03-07,0,1,40.0,25.0,0.0,8.88,0,39,0,33.5
Yagoua,330,3,silty,2024-03-06,0,1,40.0,25.0,0.0,8.88,0,40,0,33.5
Yagoua,330,3,silty,2024-03-05,0,1,40.0,25.0,0.0,8.88,0,40,0,33.5
Yagoua,330,3,silty,2024-03-04,0,1,37.0,25.0,0.0,8.88,0,41,0,33.5
Yagoua,330,3,silty,2024-03-03,0,1,37.0,25.0,0.0,8.88,0,41,0,33.5
Yagoua,330,3,silty,2024-03-02,0,1,37.0,25.0,0.0,8.88,0,42,0,33.5
Yagoua,330,3,silty,2024-03-01,0,1,37.0,25.0,0.0,8.88,0,42,0,33.5
Yagoua,330,3,silty,2024-02-29,0,1,37.0,25.0,0.0,8.88,0,43,0,33.5
Yagoua,330,3,silty,2024-02-28,0,1,37.0,25.0,0.0,8.88,0,44,0,33.5
Yagoua,330,3,silty,2024-02-27,0,1,37.0,25.0,0.0,8.88,0,44,0,33.5
Yagoua,330,3,silty,2024-02-26,0,1,37.0,25.0,0.0,8.88,0,45,0,33.5
Yagoua,330,3,silty,2024-02-25,0,1,37.0,21.0,0.0,8.88,0,45,0,33.5
Yagoua,330,3,silty,2024-02-24,0,1,37.0,21.0,0.0,8.88,0,46,0,33.5
Yagoua,330,3,silty,2024-02-23,0,1,37.0,21.0,0.0,8.88,0,46,0,35.0
Yagoua,330,3,silty,2024-02-22,0,1,37.0,21.0,0.0,8.88,0,47,0,35.0
Yagoua,330,3,silty,2024-02-21,0,1,37.0,21.0,0.0,8.88,0,47,0,35.0
Yagoua,330,3,silty,2024-02-20,0,1,37.0,21.0,0.0,8.88,0,49,0,35.0
Yagoua,330,3,silty,2024-02-19,0,1,37.0,21.0,0.0,8.88,0,49,0,35.0
Yagoua,330,3,silty,2024-02-18,0,1,37.0,21.0,0.0,8.88,0,50,0,35.0
Yagoua,330,3,silty,2024-02-17,0,1,37.0,21.0,0.0,8.88,0,50,0,35.0
Yagoua,330,3,silty,2024-02-16,0,1,37.0,21.0,0.0,8.88,0,50,0,35.0
Yagoua,330,3,silty,2024-02-15,0,1,37.0,21.0,0.0,8.88,0,50,0,35.0
Yagoua,330,3,silty,2024-02-14,0,1,37.0,21.0,0.0,10.35,0,51,0,37.0
Yagoua,330,3,silty,2024-02-13,0,1,37.0,21.0,0.0,10.35,0,52,0,38.0
Yagoua,330,3,silty,2024-02-12,0,1,37.0,21.0,0.0,10.35,0,53,0,38.0
Yagoua,330,3,silty,2024-02-11,0,1,37.0,21.0,0.0,10.35,0,53,0,38.0
Yagoua,330,3,silty,2024-02-10,0,1,37.0,21.0,0.0,10.35,0,53,0,38.0
Yagoua,330,3,silty,2024-02-09,0,1,37.0,21.0,0.0,10.35,0,55,0,38.0
Yagoua,330,3,silty,2024-02-08,0,1,37.0,21.0,0.0,10.35,0,55,0,38.0
Yagoua,330,3,silty,2024-02-07,0,1,37.0,21.0,0.0,10.35,0,56,0,38.0
Yagoua,330,3,silty,2024-02-06,0,1,37.0,21.0,0.0,10.35,0,56,0,40.0
Yagoua,330,3,silty,2024-02-05,0,1,37.0,21.0,0.0,10.35,0,57,0,40.0
Yagoua,330,3,silty,2024-02-04,0,1,37.0,21.0,0.0,10.35,0,58,0,40.0
Yagoua,330,3,silty,2024-02-03,0,1,37.0,19.0,0.0,10.35,0,60,0,40.0
Yagoua,330,3,silty,2024-02-02,0,1,37.0,19.0,0.0,10.35,0,60,0,40.0
Yagoua,330,3,silty,2024-02-01,0,1,37.0,19.0,0.0,10.35,0,61,0,41.0
Yagoua,330,3,silty,2024-01-31,0,1,37.0,19.0,0.0,12.14,0,62,0,41.0
Yagoua,330,3,silty,2024-01-30,0,1,37.0,19.0,0.0,12.14,0,62,0,41.0
Yagoua,330,3,silty,2024-01-29,0,1,37.0,19.0,0.0,12.14,0,62,0,41.0
Yagoua,330,3,silty,2024-01-28,0,1,37.0,19.0,0.0,12.14,0,63,0,42.0
Yagoua,330,3,silty,2024-01-27,0,1,33.0,19.0,0.0,12.14,0,63,0,42.0
Yagoua,330,3,silty,2024-01-26,0,1,33.0,19.0,0.0,12.14,0,65,0,42.0
Yagoua,330,3,silty,2024-01-25,0,1,33.0,19.0,0.0,12.14,0,66,0,42.0
Yagoua,330,3,silty,2024-01-24,0,1,33.0,19.0,0.0,12.14,0,67,0,42.0
Yagoua,330,3,silty,2024-01-23,0,1,33.0,19.0,0.0,12.14,0,69,0,42.0
Yagoua,330,3,silty,2024-01-22,0,1,33.0,19.0,0.0,12.14,0,69,0,42.0
Yagoua,330,3,silty,2024-01-21,0,1,33.0,19.0,0.0,12.14,0,69,0,42.0
Yagoua,330,3,silty,2024-01-20,0,1,33.0,19.0,0.0,12.14,0,70,0,42.0
Yagoua,330,3,silty,2024-01-19,0,1,33.0,19.0,0.0,14.78,0,71,0,44.5
Yagoua,330,3,silty,2024-01-18,0,1,33.0,19.0,0.0,14.78,0,73,0,44.5
Yagoua,330,3,silty,2024-01-17,0,1,33.0,19.0,0.0,14.78,0,73,0,44.5
Yagoua,330,3,silty,2024-01-16,0,1,33.0,19.0,0.0,14.78,0,74,0,44.5
Yagoua,330,3,silty,2024-01-15,0,1,33.0,19.0,0.0,14.78,0,74,0,44.5
Yagoua,330,3,silty,2024-01-14,0,1,33.0,19.0,0.0,14.78,0,74,0,44.5
Yagoua,330,3,silty,2024-01-13,0,1,33.0,19.0,0.0,14.78,0,74,0,44.5
Yagoua,330,3,silty,2024-01-12,0,1,33.0,19.0,0.0,14.78,0,74,0,44.5
Yagoua,330,3,silty,2024-01-11,0,1,33.0,19.0,0.0,14.78,0,74,0,44.5
Yagoua,330,3,silty,2024-01-10,0,1,33.0,19.0,0.0,17.65,0,74,0,44.5
Yagoua,330,3,silty,2024-01-09,0,1,33.0,19.0,0.0,17.65,0,74,0,44.5
Yagoua,330,3,silty,2024-01-08,0,1,33.0,19.0,0.0,17.65,0,74,0,46.0
Yagoua,330,3,silty,2024-01-07,0,1,33.0,19.0,0.0,17.65,0,74,0,46.0
Yagoua,330,3,silty,2024-01-06,0,1,33.0,19.0,0.0,17.65,0,74,0,46.0
Yagoua,330,3,silty,2024-01-05,0,1,33.0,19.0,0.0,17.65,0,74,0,46.0
Yagoua,330,3,silty,2024-01-04,0,1,33.0,19.0,0.0,17.65,0,74,0,46.0
Yagoua,330,3,silty,2024-01-03,0,1,33.0,19.0,0.0,19.56,0,76,0,47.0
Yagoua,330,3,silty,2024-01-02,0,1,33.0,19.0,0.0,19.56,0,77,0,47.0
Yagoua,330,3,silty,2024-01-01,0,1,33.0,19.0,0.0,19.56,0,79,0,47.0
Yagoua,330,3,silty,2023-12-31,0,1,33.0,19.0,0.0,19.56,0,80,0,47.0
Yagoua,330,3,silty,2023-12-30,0,1,33.0,19.0,0.0,22.22,0,81,0,47.0
Yagoua,330,3,silty,2023-12-29,0,1,33.0,19.0,0.0,22.22,0,83,0,49.0
