measurement_date,river_flow,groundwater_level,reservoir_level
2023-10-04,623,0,78.5
2023-10-03,635,0,78.5
2023-10-02,643,0,79
2023-10-01,651,0,79
2023-09-30,659,0,79
2023-09-29,692,0,79
2023-09-28,704,0,80.5
2023-09-27,717,0,80.5
2023-09-26,730,0,80.5
2023-09-25,782,0,80.5
2023-09-24,813,0,80.5
2023-09-23,826,0,80.5
2023-09-22,822,0,82
2023-09-21,813,0,82
2023-09-20,804,0,82
2023-09-19,808,0,82
2023-09-18,813,0,82
2023-09-17,817,0,82
2023-09-16,822,0,82
2023-09-15,831,0,82
2023-09-14,813,0,84
2023-09-13,795,0,84
2023-09-12,795,0,84
2023-09-11,768,0,84
2023-09-10,768,0,84
2023-09-09,755,0,84
2023-09-08,742,0,86
2023-09-07,734,0,87
2023-09-06,725,0,89
2023-09-05,717,0,90
2023-09-04,704,0,92
2023-09-03,700,0,92
2023-09-02,684,0,94
2023-09-01,643,0,97
2023-08-31,615,0,97
2023-08-30,611,0,97
2023-08-29,611,0,97
2023-08-28,643,0,97
2023-08-27,675,0,97
2023-08-26,725,0,97
2023-08-25,713,0,97
2023-08-24,692,0,97
2023-08-23,679,0,97
2023-08-22,651,0,97
2023-08-21,647,0,97
2023-08-20,643,0,97
2023-08-19,651,0,97
2023-08-18,655,0,97
2023-08-17,659,0,97
2023-08-16,692,0,97
2023-08-15,704,0,97
2023-08-14,692,0,97.5
2023-08-13,659,0,97.5
2023-08-12,651,0,97.5
2023-08-11,651,0,97.5
2023-08-10,631,0,97.5
2023-08-09,639,0,97.5
2023-08-08,639,0,97.5
2023-08-07,623,0,97.5
2023-08-06,580,0,97.5
2023-08-05,561,0,96
2023-08-04,565,0,96
2023-08-03,569,0,96
2023-08-02,561,0,92
2023-08-01,554,0,92
2023-07-31,573,0,92
2023-07-30,592,0,88
2023-07-29,584,0,88
2023-07-28,543,0,88
2023-07-27,485,0,88
2023-07-26,458,0,87
2023-07-25,434,0,86
2023-07-24,370,0,85
2023-07-23,349,0,85
2023-07-22,358,0,85
2023-07-21,373,0,85
2023-07-20,361,0,83.5
2023-07-19,343,0,83.5
2023-07-18,343,0,80
2023-07-17,340,0,79
2023-07-16,305,0,78
2023-07-15,274,0,77
2023-07-14,225,0,77
2023-07-13,214,0,76
2023-07-12,198,0,76
2023-07-11,170,0,76
2023-07-10,144,0,76
2023-07-09,131,0,76
2023-07-08,122,0,74
2023-07-07,121,0,73
2023-07-06,117,0,73
2023-07-05,115,0,73
2023-07-04,114,0,73
2023-07-03,115,0,71
2023-07-02,119,0,70
2023-07-01,121,0,69
2023-06-30,124,0,67.5
2023-06-29,124,0,67.5
2023-06-28,122,0,67.5
2023-06-27,110,0,67.5
2023-06-26,107,0,65
2023-06-25,104,0,63.5
2023-06-24,98,0,63.5
2023-06-23,90,0,63.5
2023-06-22,62,0,62
2023-06-21,55,0,62
2023-06-20,52,0,62
2023-06-19,46,0,62
2023-06-18,42,0,62
2023-06-17,43,0,61
2023-06-16,43,0,61
2023-06-15,42,0,61
2023-06-14,42,0,61
2023-06-13,43,0,59.5
2023-06-12,43,0,59.5
2023-06-11,44,0,59.5
2023-06-10,45,0,59.5
2023-06-09,44,0,
2023-06-08,44,0,
2023-06-07,43,0,
2023-06-06,41,0,
2023-06-05,41,0,
2023-06-04,41,0,
2023-06-03,40,0,
2023-06-02,40,0,
2023-06-01,42,0,
2023-05-31,41,0,
2023-05-30,40,0,
2023-05-29,40,0,
2023-05-28,40,0,
2023-05-27,41,0,
2023-05-26,39,0,
2023-05-25,38,0,
2023-05-24,37,0,
2023-05-23,34,0,
2023-05-22,31,0,
2023-05-21,30,0,
2023-05-20,-999,0,
2023-05-19,-999,0,
2023-05-18,-999,0,
2023-05-17,-999,0,
2023-05-16,-999,0,
2023-05-15,-999,0,
2023-05-14,-999,0,
2023-05-13,-999,0,
2023-05-12,-999,0,
2023-05-11,-999,0,
2023-05-10,-999,0,27
2023-05-09,-999,0,27
2023-05-08,-999,0,27
2023-05-07,-999,0,27
2023-05-06,-999,0,27
2023-05-05,-999,0,27
2023-05-04,-999,0,27
2023-05-03,-999,0,27
2023-05-02,-999,0,27
2023-05-01,-999,0,27
2023-04-30,-999,0,28
2023-04-29,-999,0,28
2023-04-28,-999,0,28
2023-04-27,-999,0,28
2023-04-26,-999,0,28
2023-04-25,-999,0,28
2023-04-24,-999,0,28.5
2023-04-23,47,0,28.5
2023-04-22,45,0,28.5
2023-04-21,44,0,28.5
2023-04-20,41,0,28.5
2023-04-19,42,0,28.5
2023-04-18,43,0,28.5
2023-04-17,45,0,28.5
2023-04-16,47,0,29.5
2023-04-15,47,0,29.5
2023-04-14,45,0,29.5
2023-04-13,38,0,29.5
2023-04-12,28,0,29.5
2023-04-11,26,0,29.5
2023-04-10,25,0,29.5
2023-04-09,23,0,29.5
2023-04-08,21,0,31
2023-04-07,19,0,31
2023-04-06,17,0,31
2023-04-05,16,0,31
2023-04-04,15,0,31
2023-04-03,15,0,31
2023-04-02,14,0,31
2023-04-01,14,0,31
2023-03-31,13,0,31
2023-03-30,13,0,31
2023-03-29,13,0,31
2023-03-28,13,0,32
2023-03-27,13,0,32
2023-03-26,13,0,32
2023-03-25,14,0,32
2023-03-24,14,0,32
2023-03-23,14,0,32
2023-03-22,15,0,32
2023-03-21,15,0,32
2023-03-20,15,0,32
2023-03-19,15,0,32
2023-03-18,15,0,32
2023-03-17,15,0,32
2023-03-16,16,0,32
2023-03-15,16,0,32
2023-03-14,17,0,32
2023-03-13,17,0,32
2023-03-12,17,0,32
2023-03-11,17,0,32
2023-03-10,17,0,32
2023-03-09,18,0,33.5
2023-03-08,18,0,33.5
2023-03-07,19,0,33.5
2023-03-06,19,0,33.5
2023-03-05,20,0,33.5
2023-03-04,20,0,33.5
2023-03-03,20,0,33.5
2023-03-02,20,0,33.5
2023-03-01,20,0,33.5
2023-02-28,20,0,33.5
2023-02-27,21,0,33.5
2023-02-26,21,0,33.5
2023-02-25,22,0,33.5
2023-02-24,23,0,33.5
2023-02-23,23,0,33.5
2023-02-22,24,0,35
2023-02-21,24,0,35
2023-02-20,25,0,35
2023-02-19,25,0,35
2023-02-18,25,0,35
2023-02-17,25,0,35
2023-02-16,26,0,35
2023-02-15,26,0,35
2023-02-14,27,0,35
2023-02-13,27,0,37
2023-02-12,28,0,38
2023-02-11,28,0,38
2023-02-10,29,0,38
2023-02-09,29,0,38
2023-02-08,30,0,38
2023-02-07,31,0,38
2023-02-06,31,0,38
2023-02-05,32,0,40
2023-02-04,33,0,40
2023-02-03,34,0,40
2023-02-02,32,0,40
2023-02-01,33,0,40
2023-01-31,34,0,41
2023-01-30,35,0,41
2023-01-29,35,0,41
2023-01-28,35,0,41
2023-01-27,36,0,42
2023-01-26,36,0,42
2023-01-25,36,0,42
2023-01-24,36,0,42
2023-01-23,36,0,42
2023-01-22,37,0,42
2023-01-21,37,0,42
2023-01-20,38,0,42
2023-01-19,38,0,42
2023-01-18,39,0,44.5
2023-01-17,39,0,44.5
2023-01-16,40,0,44.5
2023-01-15,40,0,44.5
2023-01-14,41,0,44.5
2023-01-13,41,0,44.5
2023-01-12,42,0,44.5
2023-01-11,43,0,44.5
2023-01-10,44,0,44.5
2023-01-09,44,0,44.5
2023-01-08,45,0,44.5
2023-01-07,46,0,46
2023-01-06,46,0,46
2023-01-05,47,0,46
2023-01-04,47,0,46
2023-01-03,49,0,46
2023-01-02,50,0,47
2023-01-01,50,0,47
2022-12-31,51,0,47
2022-12-30,51,0,47
2022-12-29,52,0,47
2022-12-28,53,0,49
2022-12-27,53,0,49
2022-12-26,55,0,49
2022-12-25,56,0,51.5
2022-12-24,57,0,51.5
2022-12-23,58,0,51.5
2022-12-22,58,0,51.5
2022-12-21,58,0,54
2022-12-20,60,0,54
2022-12-19,60,0,54
2022-12-18,61,0,54
2022-12-17,61,0,56
2022-12-16,62,0,56
2022-12-15,62,0,56
2022-12-14,-999,0,56
2022-12-13,-999,0,58
2022-12-12,-999,0,58
2022-12-11,-999,0,58
2022-12-10,-999,0,58
2022-12-09,-999,0,59
2022-12-08,-999,0,59
2022-12-07,-999,0,59
2022-12-06,-999,0,59
2022-12-05,76,0,59
2022-12-04,77,0,59
2022-12-03,79,0,61
2022-12-02,80,0,61
2022-12-01,83,0,61
2022-11-30,84,0,61
2022-11-29,84,0,61
2022-11-28,86,0,61
2022-11-27,87,0,61
2022-11-26,89,0,61
2022-11-25,89,0,63.5
2022-11-24,90,0,63.5
2022-11-23,92,0,63.5
2022-11-22,94,0,63.5
2022-11-21,95,0,63.5
2022-11-20,97,0,63.5
2022-11-19,98,0,63.5
2022-11-18,102,0,65
2022-11-17,104,0,65
2022-11-16,105,0,65
2022-11-15,107,0,65
2022-11-14,112,0,65
2022-11-13,115,0,67
2022-11-12,119,0,67
2022-11-11,122,0,67
2022-11-10,126,0,67
2022-11-09,129,0,67
2022-11-08,133,0,67
2022-11-07,137,0,68
2022-11-06,139,0,68
2022-11-05,142,0,68
2022-11-04,146,0,68
2022-11-03,152,0,68
2022-11-02,158,0,69
2022-11-01,162,0,69
2022-10-31,170,0,69
2022-10-30,176,0,69
2022-10-29,185,0,69
2022-10-28,196,0,69
2022-10-27,202,0,70
2022-10-26,209,0,70
2022-10-25,221,0,70
2022-10-24,239,0,70
2022-10-23,256,0,72
2022-10-22,267,0,75
2022-10-21,272,0,76
2022-10-20,277,0,76
2022-10-19,305,0,76
2022-10-18,299,0,76
2022-10-17,277,0,77
2022-10-16,272,0,77.5
2022-10-15,262,0,77.5
2022-10-14,244,0,77.5
2022-10-13,244,0,77.5
2022-10-12,259,0,78
2022-10-11,267,0,78
2022-10-10,269,0,78
2022-10-09,272,0,78
2022-10-08,277,0,78
2022-10-07,311,0,78.5
2022-10-06,325,0,78.5
2022-10-05,299,0,78.5
2022-10-04,232,0,78.5
2022-10-03,223,0,78.5
2022-10-02,235,0,78.5
2022-10-01,239,0,79
2022-09-30,244,0,79
2022-09-29,254,0,79
2022-09-28,274,0,79
2022-09-27,277,0,80.5
2022-09-26,305,0,80.5
2022-09-25,314,0,80.5
2022-09-24,328,0,80.5
2022-09-23,322,0,80.5
2022-09-22,322,0,80.5
2022-09-21,343,0,82
2022-09-20,370,0,82
2022-09-19,392,0,82
2022-09-18,408,0,82
2022-09-17,418,0,82
2022-09-16,434,0,82
2022-09-15,464,0,82
2022-09-14,489,0,82
2022-09-13,489,0,84
2022-09-12,464,0,84
2022-09-11,411,0,84
2022-09-10,340,0,84
2022-09-09,235,0,84
2022-09-08,228,0,84
2022-09-07,223,0,86
2022-09-06,225,0,87
2022-09-05,214,0,89
2022-09-04,216,0,90
2022-09-03,228,0,92
2022-09-02,242,0,92
2022-09-01,272,0,94
2022-08-31,272,0,97
2022-08-30,299,0,97
2022-08-29,302,0,97
2022-08-28,294,0,97
2022-08-27,277,0,97
2022-08-26,331,0,97
2022-08-25,340,0,97
2022-08-24,294,0,97
2022-08-23,305,0,97
2022-08-22,340,0,97
2022-08-21,352,0,97
2022-08-20,395,0,97
2022-08-19,408,0,97
2022-08-18,441,0,97
2022-08-17,485,0,97
2022-08-16,478,0,97
2022-08-15,444,0,97
2022-08-14,434,0,97
2022-08-13,414,0,97.5
2022-08-12,401,0,97.5
2022-08-11,385,0,97.5
2022-08-10,373,0,97.5
2022-08-09,358,0,97.5
2022-08-08,346,0,97.5
2022-08-07,343,0,97.5
2022-08-06,340,0,97.5
2022-08-05,331,0,97.5
2022-08-04,277,0,96
2022-08-03,235,0,96
2022-08-02,223,0,96
2022-08-01,223,0,92
2022-07-31,225,0,92
2022-07-30,225,0,92
2022-07-29,228,0,88
2022-07-28,228,0,88
2022-07-27,232,0,88
2022-07-26,232,0,88
2022-07-25,239,0,87
2022-07-24,232,0,86
2022-07-23,228,0,85
2022-07-22,223,0,85
2022-07-21,216,0,85
2022-07-20,202,0,85
2022-07-19,172,0,83.5
2022-07-18,142,0,83.5
2022-07-17,141,0,80
2022-07-16,137,0,79
2022-07-15,133,0,78
2022-07-14,128,0,77
2022-07-13,121,0,77
2022-07-12,117,0,76
2022-07-11,112,0,76
2022-07-10,107,0,76
2022-07-09,104,0,76
2022-07-08,98,0,76
2022-07-07,95,0,74
2022-07-06,90,0,73
2022-07-05,87,0,73
2022-07-04,84,0,73
2022-07-03,81,0,73
2022-07-02,80,0,71
2022-07-01,79,0,70
2022-06-30,77,0,69
2022-06-29,79,0,67.5
2022-06-28,-999,0,67.5
2022-06-27,-999,0,67.5
2022-06-26,-999,0,67.5
2022-06-25,-999,0,65
2022-06-24,-999,0,63.5
2022-06-23,-999,0,63.5
2022-06-22,76,0,63.5
2022-06-21,76,0,62
2022-06-20,74,0,62
2022-06-19,74,0,62
2022-06-18,76,0,62
2022-06-17,-999,0,62
2022-06-16,-999,0,61
2022-06-15,-999,0,61
2022-06-14,-999,0,61
2022-06-13,-999,0,61
2022-06-12,76,0,59.5
2022-06-11,76,0,59.5
2022-06-10,76,0,59.5
2022-06-09,76,0,59.5
2022-06-08,76,0,58
2022-06-07,74,0,57
2022-06-06,74,0,57
2022-06-05,74,0,57
2022-06-04,74,0,56
2022-06-03,74,0,54
2022-06-02,73,0,54
2022-06-01,73,0,54
2022-05-31,73,0,53
2022-05-30,73,0,52
2022-05-29,73,0,51
2022-05-28,73,0,49
2022-05-27,73,0,49
2022-05-26,71,0,49
2022-05-25,71,0,47
2022-05-24,71,0,45
2022-05-23,71,0,41
2022-05-22,71,0,39
2022-05-21,70,0,37
2022-05-20,70,0,35
2022-05-19,70,0,34
2022-05-18,73,0,32
2022-05-17,73,0,31
2022-05-16,73,0,29
2022-05-15,74,0,29
2022-05-14,73,0,29
2022-05-13,73,0,29
2022-05-12,73,0,29
2022-05-11,74,0,29
2022-05-10,76,0,29
2022-05-09,76,0,29
2022-05-08,76,0,29
2022-05-07,74,0,29
2022-05-06,74,0,29
2022-05-05,73,0,29
2022-05-04,73,0,29
2022-05-03,73,0,29
2022-05-02,71,0,29
2022-05-01,70,0,29
2022-04-30,69,0,29
2022-04-29,66,0,29
2022-04-28,65,0,29
2022-04-27,61,0,29
2022-04-26,57,0,29
2022-04-25,50,0,29
2022-04-24,44,0,28.5
2022-04-23,43,0,28.5
2022-04-22,42,0,28.5
2022-04-21,40,0,28.5
2022-04-20,39,0,28.5
2022-04-19,38,0,28.5
2022-04-18,37,0,28.5
2022-04-17,36,0,28.5
2022-04-16,35,0,29.5
2022-04-15,35,0,29.5
2022-04-14,34,0,29.5
2022-04-13,34,0,29.5
2022-04-12,34,0,29.5
2022-04-11,34,0,29.5
2022-04-10,34,0,29.5
2022-04-09,35,0,29.5
2022-04-08,35,0,31
2022-04-07,35,0,31
2022-04-06,35,0,31
2022-04-05,35,0,31
2022-04-04,35,0,31
2022-04-03,35,0,31
2022-04-02,35,0,31
2022-04-01,36,0,31
2022-03-31,36,0,31
2022-03-30,36,0,31
2022-03-29,36,0,31
2022-03-28,37,0,32
2022-03-27,37,0,32
2022-03-26,37,0,32
2022-03-25,37,0,32
2022-03-24,38,0,32
2022-03-23,38,0,32
2022-03-22,38,0,32
2022-03-21,38,0,32
2022-03-20,39,0,32
2022-03-19,39,0,32
2022-03-18,39,0,32
2022-03-17,39,0,32
2022-03-16,39,0,32
2022-03-15,40,0,32
2022-03-14,40,0,32
2022-03-13,40,0,32
2022-03-12,40,0,32
2022-03-11,40,0,32
2022-03-10,41,0,32
2022-03-09,41,0,33.5
2022-03-08,41,0,33.5
2022-03-07,41,0,33.5
2022-03-06,42,0,33.5
2022-03-05,42,0,33.5
2022-03-04,43,0,33.5
2022-03-03,44,0,33.5
2022-03-02,44,0,33.5
2022-03-01,45,0,33.5
2022-02-28,46,0,33.5
2022-02-27,46,0,33.5
2022-02-26,47,0,33.5
2022-02-25,49,0,33.5
2022-02-24,50,0,33.5
2022-02-23,50,0,33.5
2022-02-22,51,0,35
2022-02-21,52,0,35
2022-02-20,53,0,35
2022-02-19,53,0,35
2022-02-18,55,0,35
2022-02-17,56,0,35
2022-02-16,57,0,35
2022-02-15,57,0,35
2022-02-14,58,0,35
2022-02-13,58,0,37
2022-02-12,60,0,38
2022-02-11,60,0,38
2022-02-10,60,0,38
2022-02-09,61,0,38
2022-02-08,61,0,38
2022-02-07,62,0,38
2022-02-06,62,0,38
2022-02-05,63,0,40
2022-02-04,63,0,40
2022-02-03,65,0,40
2022-02-02,66,0,40
2022-02-01,67,0,40
2022-01-31,69,0,41
2022-01-30,69,0,41
2022-01-29,70,0,41
2022-01-28,71,0,41
2022-01-27,71,0,42
2022-01-26,73,0,42
2022-01-25,73,0,42
2022-01-24,74,0,42
2022-01-23,-999,0,42
2022-01-22,-999,0,42
2022-01-21,-999,0,42
2022-01-20,-999,0,42
2022-01-19,-999,0,42
2022-01-18,76,0,44.5
2022-01-17,76,0,44.5
2022-01-16,76,0,44.5
2022-01-15,76,0,44.5
2022-01-14,76,0,44.5
2022-01-13,77,0,44.5
2022-01-12,77,0,44.5
2022-01-11,79,0,44.5
2022-01-10,79,0,44.5
2022-01-09,80,0,44.5
2022-01-08,81,0,44.5
2022-01-07,83,0,46
2022-01-06,84,0,46
2022-01-05,84,0,46
2022-01-04,86,0,46
2022-01-03,86,0,46
2022-01-02,86,0,47
2022-01-01,87,0,47
2021-12-31,87,0,47
2021-12-30,89,0,47
2021-12-29,89,0,47
2021-12-28,90,0,49
2021-12-27,90,0,49
2021-12-26,92,0,49
2021-12-25,94,0,51.5
2021-12-24,95,0,51.5
2021-12-23,97,0,51.5
2021-12-22,98,0,51.5
2021-12-21,100,0,54
2021-12-20,104,0,54
2021-12-19,105,0,54
2021-12-18,107,0,54
2021-12-17,109,0,56
2021-12-16,110,0,56
2021-12-15,110,0,56
2021-12-14,112,0,56
2021-12-13,115,0,58
2021-12-12,117,0,58
2021-12-11,121,0,58
2021-12-10,122,0,58
2021-12-09,124,0,59
2021-12-08,126,0,59
2021-12-07,128,0,59
2021-12-06,129,0,59
